Bundesland,Schulabschluss,2010 männlich,2010 weiblich,2011 männlich,2011 weiblich,2012 männlich,2012 weiblich,2013 männlich,2013 weiblich,2014 männlich,2014 weiblich,2015 männlich,2015 weiblich,2016 männlich,2016 weiblich,2017 männlich,2017 weiblich,2018 männlich,2018 weiblich,2019 männlich,2019 weiblich,2020 männlich,2020 weiblich,2021 männlich,2021 weiblich
Baden-Württemberg,Ohne Hauptschulabschluss,3798,2447,3532,2390,3575,2376,3272,2245,3539,2329,3593,2175,3712,2413,4626,2813,4289,2662,3935,2346,3484,2128,3860,2349
Baden-Württemberg,Hauptschulabschluss,18043,13956,17413,13399,13295,10009,13762,10190,13031,9642,12936,9269,12668,9190,10329,7324,10511,6982,10401,6690,10433,7016,9812,6383
Baden-Württemberg,Mittlerer Schulabschluss,25136,25014,24660,24567,25364,25291,29180,28082,29439,27797,29340,27950,29055,27075,27725,26090,26594,24008,26049,24718,26254,24413,24771,23688
Baden-Württemberg,Fachhochschulreife,164,149,136,174,180,200,160,146,135,153,147,198,169,193,176,179,152,198,184,204,196,193,194,194
Baden-Württemberg,Allgemeine Hochschulreife,15258,18751,15835,19539,27498,32040,15795,18013,15324,18207,16348,18780,15935,18696,15870,18083,15315,17794,14405,17448,13414,16129,12939,15506
Bayern,Ohne Hauptschulabschluss,4700,2879,4314,2669,3979,2480,3681,2311,3586,2306,4052,2207,4607,2426,4935,2561,4799,2615,4450,2524,3690,2274,3914,2240
Bayern,Hauptschulabschluss,20583,14924,20068,14339,20181,14228,18258,12879,17925,12386,17480,11676,17127,11602,16110,10749,17045,10838,16000,10808,14617,9602,13726,9191
Bayern,Mittlerer Schulabschluss,28749,31148,29078,30841,29302,30971,30329,32002,30754,32091,30590,31568,32191,33214,31337,31314,30131,30334,29189,29887,27884,28862,28059,28467
Bayern,Fachhochschulreife,15,21,6,6,9,4,3,3,3,2,5,2,3,1,0,0,0,0,0,0,0,0,0,0
Bayern,Allgemeine Hochschulreife,16243,19476,31577,37303,17056,19699,17432,20252,17375,20221,17857,20920,17955,21030,18112,20959,17523,20908,16830,20107,15285,18347,15846,18995
Berlin,Ohne Hauptschulabschluss,1611,1119,1462,1025,1300,1039,1209,906,1398,1032,1812,1197,1493,997,1721,1262,1780,1175,1621,1078,1247,790,1221,779
Berlin,Hauptschulabschluss,3837,3052,3475,2837,3504,2691,3318,2613,2841,2249,2862,2324,2575,1970,2522,2043,2486,2048,2774,2092,2589,1713,2452,1750
Berlin,Mittlerer Schulabschluss,4807,4283,4711,4229,5040,4520,5212,4912,5368,4789,5562,4836,5249,4644,5320,4466,5111,4309,5394,4692,5710,4985,6202,5477
Berlin,Fachhochschulreife,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,Allgemeine Hochschulreife,5586,6786,5423,6440,7744,9411,5708,6522,5618,6718,5780,6965,6550,7555,7028,8087,6485,7500,6268,7397,6243,7460,6347,7335
Brandenburg,Ohne Hauptschulabschluss,1039,590,862,549,925,514,886,546,908,554,961,595,965,558,1010,554,1020,608,996,583,711,423,846,544
Brandenburg,Hauptschulabschluss,1734,1167,1767,1074,1543,970,1637,1073,1647,1006,1692,1141,1778,1113,1729,1068,1769,1052,1841,1037,1933,1124,2125,1239
Brandenburg,Mittlerer Schulabschluss,3070,3066,2757,2813,3607,3204,3648,3512,3920,3630,4678,4260,4532,4105,4171,3886,4446,3954,4349,3864,4412,3913,4467,4012
Brandenburg,Fachhochschulreife,28,16,4,0,28,15,0,0,30,12,8,8,24,8,0,0,8,16,0,0,9,10,0,0
Brandenburg,Allgemeine Hochschulreife,3972,5352,3014,3675,4285,5227,3122,3595,2975,3520,3506,4003,3574,4348,4053,4892,4062,4771,3923,4552,3684,4513,3790,4835
Bremen,Ohne Hauptschulabschluss,229,141,294,188,245,167,265,184,266,182,268,179,246,191,349,226,336,228,358,249,344,249,357,255
Bremen,Hauptschulabschluss,943,790,933,761,911,713,923,652,879,634,787,608,744,517,789,538,815,553,792,579,861,651,872,600
Bremen,Mittlerer Schulabschluss,1402,1386,1370,1393,1409,1349,1396,1271,1356,1324,1455,1315,1298,1165,1300,1196,1312,1086,1153,1051,1102,1054,1144,1019
Bremen,Fachhochschulreife,51,63,61,79,40,53,57,93,51,56,146,100,0,0,0,0,106,139,0,0,168,164,138,127
Bremen,Allgemeine Hochschulreife,1219,1462,1308,1552,1775,2114,1351,1422,1265,1521,1391,1611,1275,1556,1189,1403,1215,1356,1036,1320,1153,1397,1123,1400
Hamburg,Ohne Hauptschulabschluss,708,516,591,429,580,413,395,302,461,294,523,374,591,401,512,384,656,428,606,372,697,422,604,341
Hamburg,Hauptschulabschluss,1532,1166,1371,988,1413,1133,883,628,1477,1009,1593,1189,1471,1117,1915,1263,1866,1272,1764,1236,1794,1192,1560,1107
Hamburg,Mittlerer Schulabschluss,2077,1916,1767,1563,1756,1561,1965,1726,2044,1726,2045,1798,2142,1802,2150,1884,2229,1772,2054,1688,2156,1690,2026,1643
Hamburg,Fachhochschulreife,255,287,223,237,188,207,34,27,33,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,Allgemeine Hochschulreife,5501,6675,3309,4036,3517,4266,3845,4350,3963,4551,4240,4847,4367,5053,4238,4800,4227,4805,4261,4594,4004,4856,4142,4959
Hessen,Ohne Hauptschulabschluss,2356,1507,1980,1390,2027,1324,1792,1237,1853,1178,1589,953,1947,1270,1870,1223,1879,1132,1902,1142,1607,948,1880,1272
Hessen,Hauptschulabschluss,8384,6087,7554,5340,7153,5208,6921,4820,6578,4699,5730,4032,6588,4686,7164,4776,6913,4472,6453,4012,6172,4162,5915,3969
Hessen,Mittlerer Schulabschluss,14425,13971,14075,13288,13863,13308,15582,15193,15039,14729,14254,13698,14941,14434,14282,13481,13761,12958,13995,13374,14043,13265,14231,13723
Hessen,Fachhochschulreife,583,680,904,1055,796,1029,252,193,170,130,167,147,173,118,130,103,152,97,110,78,84,65,87,74
Hessen,Allgemeine Hochschulreife,8833,11232,8824,11560,9657,12085,12583,15821,11509,14495,9885,12212,9450,11595,9248,11490,9068,11551,8354,10617,8591,10417,6964,8878
Mecklenburg-Vorpommern,Ohne Hauptschulabschluss,878,556,820,525,783,483,726,429,598,363,643,357,735,440,726,407,802,392,773,452,571,348,686,389
Mecklenburg-Vorpommern,Hauptschulabschluss,898,599,676,463,764,557,802,543,898,563,1024,668,1010,701,1090,659,1166,731,1103,693,831,557,1030,620
Mecklenburg-Vorpommern,Mittlerer Schulabschluss,1981,1942,1942,1744,2137,1927,2439,2285,2504,2452,2637,2434,2671,2527,2815,2533,2930,2648,2892,2736,3024,2732,3253,2843
Mecklenburg-Vorpommern,Fachhochschulreife,154,174,136,158,181,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mecklenburg-Vorpommern,Allgemeine Hochschulreife,1703,1964,1425,1668,1511,1822,1531,1798,1604,2077,1886,2362,2032,2447,2054,2529,2117,2753,2143,2565,2174,2591,2030,2492
Niedersachsen,Ohne Hauptschulabschluss,3287,1931,3090,1995,2899,1874,2656,1716,2532,1713,2662,1677,2676,1615,3042,1788,3209,1884,3413,2011,2826,1786,2861,1729
Niedersachsen,Hauptschulabschluss,8720,5742,7534,5161,7708,5162,7147,4985,7241,4786,6828,4292,6837,4496,7200,4486,7133,4383,6893,4312,6414,4152,6283,4035
Niedersachsen,Mittlerer Schulabschluss,21394,19953,21661,19677,21616,19723,22700,21468,23011,21277,21967,20471,21373,19604,20748,18435,20003,17929,19047,17416,19285,17657,18804,17123
Niedersachsen,Fachhochschulreife,619,727,741,806,855,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niedersachsen,Allgemeine Hochschulreife,10945,14028,18351,23754,12074,14602,11666,14131,12000,14745,12346,15563,12468,15096,11978,14778,11759,14769,12105,14982,2315,2893,11201,14291
Nordrhein-Westfalen,Ohne Hauptschulabschluss,7141,4841,6619,4583,6294,4397,6633,4557,6925,4770,6462,4592,6453,4352,6781,4368,7102,4420,7023,4398,6030,3678,6295,3830
Nordrhein-Westfalen,Hauptschulabschluss,22328,16357,20903,15363,20024,14743,19762,14686,19087,13751,17922,12716,17702,12066,17196,11959,17005,11282,18006,12246,15906,10575,17040,11440
Nordrhein-Westfalen,Mittlerer Schulabschluss,44548,43194,41854,40123,41352,39762,46781,44826,44781,42593,44119,41366,42747,40084,41853,39000,38658,35698,37914,35001,36732,33570,37650,34850
Nordrhein-Westfalen,Fachhochschulreife,3697,3928,3415,3714,3508,3674,54,46,20,15,22,18,48,41,30,10,19,13,24,24,15,9,15,20
Nordrhein-Westfalen,Allgemeine Hochschulreife,30743,39359,32099,40314,34718,42961,52530,65365,35711,43430,36110,43779,35838,43722,34423,41615,33888,41113,33378,41145,32892,40389,32660,39800
Rheinland-Pfalz,Ohne Hauptschulabschluss,1629,936,1501,968,1448,905,1494,852,1466,891,1642,964,1607,918,1716,1069,1811,1000,1951,1007,1550,910,1730,1030
Rheinland-Pfalz,Hauptschulabschluss,5733,4001,5433,3900,5471,3494,5299,3455,5232,3312,4930,3213,4871,3191,5111,3164,4810,2889,4521,2791,3877,2450,3890,2588
Rheinland-Pfalz,Mittlerer Schulabschluss,9061,9191,9093,8957,9056,9203,9738,9629,9645,9586,9092,9039,8482,8462,8067,8004,8461,8008,7680,7600,7461,7173,7462,7482
Rheinland-Pfalz,Fachhochschulreife,303,410,365,420,424,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rheinland-Pfalz,Allgemeine Hochschulreife,5878,7810,5936,7832,6113,7834,6386,8006,5998,7628,6420,7793,6987,8713,6651,8379,6591,8202,6458,8277,6276,7896,6159,8098
Saarland,Ohne Hauptschulabschluss,343,223,299,188,327,200,295,214,297,192,281,157,434,228,399,211,426,230,423,214,303,243,336,213
Saarland,Hauptschulabschluss,1618,1246,1548,1171,1618,1135,1541,1133,1438,1129,1352,1020,1291,982,1384,1050,1538,1047,1357,1060,1494,1038,1411,974
Saarland,Mittlerer Schulabschluss,1703,1712,1673,1709,1673,1718,1856,1950,1676,1776,1542,1613,1658,1656,1569,1521,1421,1369,1398,1388,1327,1254,1403,1329
Saarland,Fachhochschulreife,49,55,59,51,72,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saarland,Allgemeine Hochschulreife,1363,1715,1376,1710,1460,1670,1413,1735,1408,1804,1590,1889,1543,1760,1396,1686,1426,1804,1320,1696,1399,1696,1501,1823
Sachsen,Ohne Hauptschulabschluss,1412,929,1396,863,1362,926,1567,1032,1437,911,1412,942,1570,963,1579,987,1660,977,1674,1034,1518,937,1647,1146
Sachsen,Hauptschulabschluss,1533,1006,1734,1089,1630,1082,1780,1168,1852,1216,1671,1129,1728,1070,1821,1137,1874,1050,1970,1154,1845,1069,1804,1060
Sachsen,Mittlerer Schulabschluss,6139,5913,5759,5433,5959,5936,6645,6516,7472,6800,7375,7018,8107,7564,8222,7384,7746,7312,7999,7495,8184,7855,8414,7929
Sachsen,Fachhochschulreife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sachsen,Allgemeine Hochschulreife,3287,3937,3020,3654,3122,3697,3389,3960,3738,4463,4299,5018,4373,5245,4754,5578,4537,5582,4819,5581,4589,5576,4598,5586
Sachsen-Anhalt,Ohne Hauptschulabschluss,1101,743,1063,675,1016,652,894,585,946,582,1073,662,1078,585,1102,647,1257,747,1308,687,1110,663,1038,633
Sachsen-Anhalt,Hauptschulabschluss,1709,1121,1457,970,1337,856,1027,686,1152,776,1182,778,1282,828,1179,758,1281,741,1365,807,1284,777,1437,867
Sachsen-Anhalt,Mittlerer Schulabschluss,3223,3173,3253,2919,3613,3383,3923,3587,4150,3880,4299,3980,4604,4124,4588,4145,4518,4053,4605,4107,4734,4125,4485,4305
Sachsen-Anhalt,Fachhochschulreife,213,240,180,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sachsen-Anhalt,Allgemeine Hochschulreife,1836,2397,1722,2202,1764,2317,1755,2137,1877,2379,2180,2715,2327,2820,2303,2853,2505,2985,2343,2907,2403,2901,2133,2874
Schleswig-Holstein,Ohne Hauptschulabschluss,1348,854,1349,794,1296,818,1335,902,1422,901,1371,863,1484,952,1464,829,1504,949,1678,995,1425,858,1226,786
Schleswig-Holstein,Hauptschulabschluss,5025,3719,4513,3374,4054,3021,3822,2689,3460,2469,3204,2371,3300,2272,3176,2175,3149,2204,3100,1978,2999,2010,2654,1926
Schleswig-Holstein,Mittlerer Schulabschluss,5598,5630,5362,5612,5220,5485,6096,5991,6329,6332,6146,6189,6174,6089,5912,5764,5708,5526,5519,5293,5150,5121,4971,4829
Schleswig-Holstein,Fachhochschulreife,275,299,295,358,368,409,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Schleswig-Holstein,Allgemeine Hochschulreife,4274,5124,3805,4577,3910,4721,4239,4900,4381,4986,4686,5299,7797,9128,5261,5851,4778,5446,4738,5773,4604,5418,4345,5314
Thüringen,Ohne Hauptschulabschluss,771,495,702,455,675,349,729,448,714,404,743,454,846,440,1021,498,1043,577,1066,561,821,481,927,526
Thüringen,Hauptschulabschluss,1284,916,1216,836,1108,782,1346,886,1340,944,1401,928,1394,1076,1483,1042,1577,1033,1491,1144,1553,994,1545,982
Thüringen,Mittlerer Schulabschluss,3112,2939,3033,2842,3133,3086,3486,3438,3832,3689,3848,3610,3844,3613,3980,3670,3999,3610,4147,3885,4046,3866,4137,3942
Thüringen,Fachhochschulreife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thüringen,Allgemeine Hochschulreife,2477,3008,1942,2384,2065,2437,2072,2469,2273,2726,2591,2991,2601,3331,2580,3177,2600,3116,2675,3296,2542,3192,2374,3090
